,index,Class,Text
100,2292,Household,"Aart Store 3X6 Feet One Seater Printed Mechanism Type Fold Out Sofa Cum Bed with One Cushion- Perfect for Guests Size:3x6                                                                                 |                            Color:Musc_02   Printed One Seater sofa cum bed ofa Bed. Designed for efficiency, the sofa bed is soft, comfortable and easy to set up. You would be surprised that this lightweight yet sturdy piece of furniture has quite a few uses The ideal solution for saving space with minimal effort and time, the unit is functional with its sleek appearance and helps you maintain a clutter free hom. Besides a Bed/Sofa, you can use this as a Lounger for watching movies and a study on the floor table too. Though the covers are washable. We have also made available many cover designs which you can get when you are in a mood to change the look of this furniture Aart Store"
101,2305,Household,"Furny Davis Four Seater Sectional Sofa (Grey) Size:Four seat                                                                                 |                            Color:Grey   Furny supplies to most leading retailers and brands in India. A very generously made sofa from all the materials yields a perfect modular sofa for your living room. Furny sofa collection is spaciously designed with larger depth to allow for broader seating and allowing complete relaxation until the thigh to provide with superb comfort. A generously proportioned sofa that fits around you - with individual modular units to make delivery hassle free and protecting your sofa against any untoward damages occurring due to narrow corridors. Sofa made of high density foam, deep fiber cushioning and made of finest material that last long."
102,2338,Household,"Valtos Melbourne Engineered Wood Coffee Table (Matte Finish, Wenge) Coffee table with storage made of engineered wood, a mind blowing cost is certain to supplement your living space."
105,2380,Household,"MP ENTERPRIESES Sheesham Wood Round Shape Bed Side End Table for Living Room (Brown and White) Color:Design5   Grab the eyes of everyone with MP enterprises amazing home decor item by picking this adorable table. This table will give you a soft and smooth feel while touching it. Furniture items can not be replaced easily so we always choose these items after a lot of. It comes with a natural sheesham wood finish which brings a sheen and shine in the table. Structured from the standard sheesham wood, this table will give you not only a stunning look but also enhance the class and standard of yours. Station it in your house or office and make them look incredible."
107,2441,Household,"# The Silky Beans 2 KG Premium Bean Bag Filler/Refill/Filling. Refill your bean bag or cover with #THE SILKY premium A-Grade beans and enjoy your bean bag. FEATURES of #THE SILKY premium A-Grade beans: - High Density A-Grade Beans long lasting and durability can use to refill your existing Bean bag / Chair / Cover / Stuffed Animal Toys etc. Each 100% virgin polystyrene beans is the approximate size of around 6mm. As its High Density with around 6mm of size, user experience for long time as it’s not too big in size, the durability is much more than big size of beans. AS SIZE DOESN’T MATTER, WHAT MATTER IS EXPERIENCE AND IT’S DURABILITY WITH THE SAME EXPERIENCE FOR LONG TIME. What you need to refill your #THE SILKY Beans- (1) Recommended area to fill up - Dry Area (2) 2 Person (3) 1 Table or any other thing for support around half of your height (4) Your Bean bag with # THE SILKY BEANS Quantity Required to refill with your #THE SILKY Beans- KIDS : Approximate 900 GRAM , XL SIZE : Approximate 1.4 KG, XXL SIZE : Approximate 2.4 KG, XXXL SIZE : Approximate 2.9 KG, JUMBO SIZE : Approximate 4 KG. NOTE- Size of Beans would not be of same size as it’s not possible due to the nature of Polystyrene. Safety Warning- Expanded Polystyrene Beads / Beans often create static causing them to cling. When Bean bags popped or the fabric gets torn these Beans Are Exposed. Once exposed, these Beans could cling to you or your clothing. Also it is strictly advisable to keep them away from small children as it can create suffocating by accidentally inhaling these Beans. We deliver our promises."
108,2466,Household,Electomania® 10Pcs Baby Drawer Cupboard Cabinet Door Drawers Lengthened Safety Lock
109,2541,Household,"Green Soul Vienna High Back Revolving Office Chair (Black and Tan, +4 Colors)"
111,2604,Household,"All Time Frosty Plastic Bathroom Stool - 26.4 cm x 26.4 cm x 21.3 cm, Green Color Name:Green   Our bathroom stool are ergonomically designed with a rounded edge surface to ensure comfort and a sturdy body to ensure stability."
114,2685,Household,"@home by Nilkamal Dalton Study Table with Book Shelf (Walnut) Study desk with bookshelf in engineered wood. Mild steel frame provides weight bearing strength. Accentuated with shelves for placing books, etc. and works as an ideal space saver."
115,2702,Household,"POLE STAR ""TREK 44 Lt Blue grey Rucksack I Hiking backpack This product is made from polyester on the inside and outside and is finished in a attractive blue & grey color. It features 2 compartments, soft shell, extendable handle, drawstring closure, adjustable strap and is targeted towards both the genders. Furthermore, it is recommended to be kept away from extreme heat, fire and corrosive liquids to avoid any form of damage."
116,2710,Household,"Encasa Homes Round Floor Cushions 50 x 6 cm - Powder Pink - Solid Dyed Canvas with Cotton Filler, Large Flat Size for Meditation, Yoga, Pooja, Seating, Guests Living Room, Bedroom, Kids & Outdoor Color Name:Powder Pink   Rich Cotton Canvas (Half Panama) fabric is dyed in vibrant colours & made into Cotton Filled Round Floor Cushions to sit on during Meditation or Zafu Yoga. The cushions are scientifically designed to give perfect comfort by making the size, thickness and density ideal for sitting for longer periods. Bright colours also give good accent to your rooms. The cushions are finished with multiple (25) tucks so it will always hold its shape even after long usage. Most customers keep 4-6 colours which can be used in any room for creating casual sitting when more guests arrive. Mix and match the colours suitable for your furniture, upholstery & curtains to enhance the appearance of your room."
117,2715,Household,"Encasa Homes Rich Cotton Canvas Floor Cushions - 40x40x8 cm, Azul Blue Size:40cm x 40cm x 8cm                                                                                 |                            Color Name:Azul Blue   Rich Cotton Canvas fabric in deep vibrant colours is made into 2 sizes of Floor Cushions to decorate your rooms and provide comfortable seating for youngsters. Plain dyed colours allows this to fit in with any design or colour scheme in your room..You can easily find something to match your sofas / curtains / bedlinen from the choice of 11 colours. Choose also the size most suitable for your furniture to enhance the appearance of your room. If these sizes are not suitable, we can do customised sizes for you."
118,2723,Household,"Raedial Arts Half Round Pink Color Sunflower Area Rug Mats For Bedroom Living Room Round Mats Computer Chair Mat Size:2.5 x 6                                                                                 |                            Color:Pink   Rugs Add A Touch Of Elegance To Your Home Decor.Perfect And Unique Design For Decorating. Machine Made, Easy To Clean. Perfect For Any Room, Including Bedroom, Living Room, Bathroom, Home Decor, Floor, And Carpet. Easy Clean, Just Spray With Water Or Sweep.Manual Scrub (With A Wet Cotton Dips In Water And A Small Amount Of Wash Swap, Outdoor Air Dry, Avoid Sun Exposure.)Perfect For Any Room In Your Home. Suitable For Use On Underfloor Heating. Cleaning Type: Vacuuming, Dry Cleaning, Proceed Washing, Machine Washable"
119,2784,Household,NAOE Steel Plate Rack with Three Partitions (13 X 6 X 6 in)(White) Elegant Looking Space Saver Plate Rack With Three Slots To Keep All Sizes Of Plates.This Product Neatly Organised Your Cabinet.Ease Od Handling Of Plates
121,2880,Household,"Havells Brina 50-Litre Cooler (Grey/White) Havells Offers Energy Efficient, Reasonably Priced And Environment-Friendly Air Coolers, Namely, Desert Air Coolers, Personal Air Coolers And Window Air Coolers. Exhibiting Unparalleled Performance Resulting From Cutting-Edge Technology, Havells India Limited Has Introduced A Fine Combination Of Technology And Innovation With Smart Air Coolers Which Are Highly Productive, Convenient To Use, And Safe. The Compact Design, Easy Portability, Cleaner Technologies And Air Purification System Adds To Their Finesse And Makes These Air Coolers A Must-Have During The Summer."
